00 AND    
01 OR     
02 XOR    
03 SHIFT  
04 ADD    
05 SUB    
06 CLT    
07 CLTU   
08 ANDI   
09 ORI    
0A XORI   
0B SHIFTI 
0C ADDI   
0D SUBI   
0E CLTI   
0F CLTUI  
10 LDB    
11 LDH    
12 LDW    
18 STB    
19 STH    
1A STW    
20 BEQ    
21 BNE    
22 BLT    
23 BGE    
24 BLTU   
25 BGEU   
28 JMP    
38 LDU    
40 LDPC  
50 MUL
54 DIVS
55 MODS
56 DIVU
57 MODU
